iteration,body_id,name,mass,x,y,z,vx,vy,vz
37,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.2065,-3.30536,-5.8128
37,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95103,-3.80279,-7.52475
38,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52683,2.11137,-5.17936
38,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20643,-3.30528,-5.81295
38,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.951,-3.80327,-7.52488
39,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52691,2.11131,-5.17919
39,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20635,-3.3052,-5.81309
39,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95098,-3.80374,-7.525
40,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.527,2.11124,-5.17903
40,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20627,-3.30513,-5.81324
40,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95095,-3.80422,-7.52513
41,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52708,2.11118,-5.17887
41,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.2062,-3.30505,-5.81339
41,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95092,-3.8047,-7.52526
42,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52716,2.11112,-5.1787
42,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20612,-3.30497,-5.81354
42,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.9509,-3.80517,-7.52539
43,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52724,2.11106,-5.17854
43,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20604,-3.30489,-5.81369
43,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95087,-3.80565,-7.52552
44,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52733,2.11099,-5.17838
44,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20597,-3.30481,-5.81384
44,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95085,-3.80613,-7.52564
45,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52741,2.11093,-5.17822
45,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20589,-3.30473,-5.81398
45,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95082,-3.80661,-7.52577
46,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52749,2.11087,-5.17805
46,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20581,-3.30465,-5.81413
46,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.9508,-3.80708,-7.5259
47,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52757,2.11081,-5.17789
47,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20574,-3.30458,-5.81428
47,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95077,-3.80756,-7.52603
48,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52766,2.11075,-5.17773
48,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20566,-3.3045,-5.81443
48,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95075,-3.80804,-7.52615
49,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52774,2.11068,-5.17756
49,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20559,-3.30442,-5.81458
49,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95072,-3.80852,-7.52628
50,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52782,2.11062,-5.1774
50,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20551,-3.30434,-5.81472
50,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.9507,-3.80899,-7.52641
51,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.5279,2.11056,-5.17724
51,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20543,-3.30426,-5.81487
51,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95067,-3.80947,-7.52654
52,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52799,2.1105,-5.17707
52,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20536,-3.30418,-5.81502
52,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95065,-3.80995,-7.52666
53,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52807,2.11044,-5.17691
53,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20528,-3.3041,-5.81517
53,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95062,-3.81043,-7.52679
54,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52815,2.11037,-5.17675
54,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.2052,-3.30403,-5.81532
54,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95059,-3.8109,-7.52692
55,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52823,2.11031,-5.17658
55,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20513,-3.30395,-5.81546
55,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95057,-3.81138,-7.52705
56,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52832,2.11025,-5.17642
56,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20505,-3.30387,-5.81561
56,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95054,-3.81186,-7.52718
57,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.5284,2.11019,-5.17626
57,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20497,-3.30379,-5.81576
57,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95052,-3.81233,-7.5273
58,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52848,2.11012,-5.17609
58,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.2049,-3.30371,-5.81591
58,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95049,-3.81281,-7.52743
59,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52856,2.11006,-5.17593
59,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20482,-3.30363,-5.81606
59,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95047,-3.81329,-7.52756
60,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52865,2.11,-5.17577
60,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20474,-3.30356,-5.8162
60,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95044,-3.81377,-7.52769
61,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52873,2.10994,-5.1756
61,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20467,-3.30348,-5.81635
61,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95042,-3.81424,-7.52781
62,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52881,2.10988,-5.17544
62,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20459,-3.3034,-5.8165
62,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95039,-3.81472,-7.52794
63,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52889,2.10981,-5.17528
63,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20451,-3.30332,-5.81665
63,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95037,-3.8152,-7.52807
64,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52898,2.10975,-5.17511
64,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20444,-3.30324,-5.8168
64,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95034,-3.81568,-7.5282
65,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52906,2.10969,-5.17495
65,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20436,-3.30316,-5.81695
65,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95032,-3.81615,-7.52832
66,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52914,2.10963,-5.17479
66,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20428,-3.30308,-5.81709
